Contains those cutsetno whose eig val greater than J = 40.0000
sno.	Cutsetno	cutedges 	 eigval1 	 eigval2
0	 32308204		 91 	       40.70	        42.21
1	 32439294		 106 	       40.23	        42.28
2	 32440318		 109 	       46.27	        42.31
3	 32505847		 120 	       40.00	        48.55
4	 32997367		 116 	       41.00	        43.91
5	 33292266		 104 	       42.13	        42.85
6	 33292282		 112 	       41.07	        45.64
7	 33292286		 122 	       40.00	        50.70
8	 33483775		 120 	       43.43	        50.86
9	 33484799		 125 	       40.00	        50.42
10	 33487870		 114 	       46.35	        48.06
11	 33488878		 109 	       50.35	        43.97
12	 33535231		 117 	       40.67	        51.80
13	 33551871		 124 	       40.00	        46.34
14	 33554409		 112 	       46.39	        43.41
15	 33554410		 110 	       42.44	        43.96
