Contains those cutsetno whose eig val greater than J = 40.0000
sno.	Cutsetno	cutedges 	 eigval1 	 eigval2
0	 8388624		 122 	       48.15	        40.00
1	 8388628		 112 	       45.62	        51.39
2	 8388630		 106 	       40.62	        46.85
3	 8388752		 115 	       43.20	        40.44
4	 8585233		 98 	       41.95	        40.18
5	 8586259		 93 	       45.37	        45.34
6	 8586961		 91 	       40.36	        40.39
7	 8590359		 87 	       40.09	        42.41
8	 9634833		 91 	       41.68	        44.87
9	 9634834		 95 	       44.26	        40.53
10	 9634835		 91 	       43.01	        50.15
