Contains those cutsetno whose eig val greater than J = 40.0000
sno.	Cutsetno	cutedges 	 eigval1 	 eigval2
0	 21		 110 	       43.96	        42.44
1	 22		 112 	       43.41	        46.39
2	 2560		 124 	       46.34	        40.00
3	 19200		 117 	       51.80	        40.67
4	 65553		 109 	       43.97	        50.35
5	 66561		 114 	       48.06	        46.35
6	 69632		 125 	       50.42	        40.00
7	 70656		 120 	       50.86	        43.43
8	 262145		 122 	       50.70	        40.00
9	 262149		 112 	       45.64	        41.07
10	 262165		 104 	       42.85	        42.13
11	 557064		 116 	       43.91	        41.00
12	 1048584		 120 	       48.55	        40.00
13	 1114113		 109 	       42.31	        46.27
14	 1115137		 106 	       42.28	        40.23
15	 1246227		 91 	       42.21	        40.70
